"Location","Freq","lng","lat","radius"
"Fresh Pond Rd",6439,-73.8959256,40.7062234,80.2433797892387
"QUEENS BLVD. (W/B) @",6429,-73.8201378,40.7096016,80.1810451416044
"W 4th St",6410,-74.0006446,40.7315541,80.0624756049924
"E 8th St",6403,-73.968735,40.628211,80.0187478032492
"38th Ave",6360,-73.9357184,40.7557583,79.7496081495075
"E 69th St",6360,-73.905269,40.615633,79.7496081495075
"161st St",6331,-73.7800746,40.6762357,79.5675813381304
"E 80th St",6296,-73.9567991,40.7749613,79.3473376995095
"8 AVE",6270,-73.9740795580111,40.5878783867403,79.1833315793166
"E 62nd St",6256,-73.9604668,40.761437,79.0948797331408
"E 11th St",6241,-73.993322,40.733304,79
"E 22nd St",6229,-73.954885,40.628336,78.9240140895026
"40th Rd",6222,-73.9360994,40.7517089,78.8796551716601
"Joralemon St",6207,-73.9908942,40.6925199,78.7845162452623
"81st St",6206,-73.8890927,40.7709138,78.7781695649245
"Adam Clayton Powell",6184,-73.9474161643606,40.8092175,78.63841300535
"E 72nd St",6170,-73.9655484,40.7718323,78.5493475466219
"35th St",6155,-73.930688,40.737875,78.4538080656382
"E 27th St",6126,-73.9414762,40.583718,78.268767717398
"42nd St",6103,-73.9223767,40.7437646,78.1216999303011
"Dean St",6059,-73.8986871,42.8195912,77.8395786216755
"Broome St",6020,-73.987879,40.717409,77.5886589650833
"W 15th St",6016,-73.982754,40.5774579,77.5628777186613
"W 30th St",6015,-73.9959547,40.5728234,77.556431067965
"PENNSYLVANIA AVE.(N/",6010,-73.894767,40.6646501,77.5241897732572
"165th St",5981,-73.8003031,40.7128786,77.3369252039412
"101st Ave",5978,-73.8057357,40.6957219,77.3175271203108
"5 AVE",5969,-73.7890782,43.5057703,77.2593036468748
"W 71st St",5966,-73.9875649,40.78022,77.2398860693101
"WOODHAVEN BLVD.(N/B)",5952,-73.8477924,40.6870427,77.1492060879436
"160th St",5949,-73.8024569,40.7864871,77.1297607930946
"148th St",5942,-73.8034503,40.6968321,77.0843693624071
"Spring St",5920,-74.0040023,40.7256722,76.9415362466854
"Avenue M",5868,-73.895765,40.635563,76.6028720088222
"E 73rd St",5854,-73.9601116,40.7704223,76.5114370535543
"W 21st St",5844,-73.9873319,40.5730207,76.4460594144656
"7TH AVE",5808,-73.9820256,40.7630704,76.2102355330306
"34th St",5789,-73.935633,40.7368524,76.085478246509
"Castle Hill Ave",5778,-73.8524922,40.8378546,76.0131567559196
"Liberty St",5778,-77.9364931,43.218139,76.0131567559196
"90th Ave",5768,-73.743685,40.725469,75.9473501841901
"E 84th St",5764,-73.9598864,40.7795911,75.9210115844092
"E 96th St",5718,-73.9008054,40.6425532,75.6174583016383
"E 65th St",5710,-73.9687943,40.7673977,75.5645419492502
"76th St",5702,-73.8733564,40.704558,75.5115885146114
"Bridge St",5695,-74.3119247,42.081486,75.4652237789036
"Emmons Ave",5681,-73.9483933,40.5835902,75.3724087448451
"Bergen St",5679,-73.9102024,40.6739372,75.3591401224828
"23rd Ave",5677,-73.845193,40.778607,75.3458691634784
"Broad St",5663,-76.128108,43.567131,75.2529069205968
"E 66th St",5659,-73.9681128,40.7679241,75.2263251794211
"W 31st St",5628,-73.9970329,40.5727886,75.0199973340442
"Franklin Ave",5618,-73.9604998,40.6636524,74.953318805774
"Linden Blvd",5615,-73.8623198,40.6694617,74.933303677337
"5TH AVE",5610,-73.9342729,40.8174708,74.899933244296
"W 18th St",5592,-73.997862,40.741056,74.7796763833597
"Schermerhorn St",5583,-73.9839778,40.6881702,74.7194753728906
"E 3rd St",5543,-73.972337,40.616654,74.4513263817375
"E 31st St",5529,-73.947498,40.6405641,74.3572457800852
"80th St",5510,-73.8589845,40.6793809,74.2293742395825
"E 6th St",5507,-73.9638608,40.5869244,74.2091638546076
"Pine St",5504,-76.122467,43.569295,74.1889479639656
"29th St",5448,-73.9384212,40.7442251,73.8105683489837
"Lefferts Blvd",5447,-73.8196414,40.6745002,73.8037939404202
"Sanford Ave",5447,-73.8307631,40.7557475,73.8037939404202
"Allerton Ave",5414,-73.8673652,40.8654299,73.5798885565886
"48th St",5407,-73.915406,40.750111,73.532305825399
"50th St",5405,-73.9838968,40.7616618,73.5187051028512
"Brighton Beach Ave",5392,-73.9548182,40.5773675,73.4302390027433
"E 92nd St",5384,-73.902347,40.639143,73.3757453113766
"JAMAICA AVE",5371,-73.7665445,40.7133043,73.287106642301
"Varick St",5367,-73.9361494,40.7269959,73.2598116295695
"Rockaway Blvd",5361,-73.8002765,40.6742698,73.2188500319419
"9th St",5354,-73.9887362,40.6703423,73.1710325197069
"49th St",5329,-73.9836073,40.7605031,73
"E 188th St",5320,-73.8909939,40.8585973,72.9383301152419
"OCEAN AVE",5300,-73.440903,40.689736,72.8010988928052
"Graham Ave",5293,-73.9443875,40.7145231,72.7530068107154
"W 32nd St",5278,-73.9980238,40.5725012,72.6498451478047
"E 88th St",5269,-73.9161078,40.647061,72.587877775838
"E 76th St",5267,-73.9587132,40.7723386,72.5741000633146
"W 8th St",5260,-73.997987,40.732946,72.525857457875
"PARK AVE",5244,-73.9805026,40.7484151,72.4154679609267
"W 181st St",5226,-73.9338625,40.8493763,72.2910782877113
"Willoughby St",5224,-73.9827457,40.6920573,72.2772439983706
"12th Ave",5199,-73.9957466,40.7679988,72.1040914234414
"30th St",5175,-73.9380097,40.7414579,71.9374728496908
"Avenue N",5171,-73.9741713,40.6150185,71.9096655533872
"84th St",5114,-73.852851,40.677564,71.5122367151245
"E 78th St",5112,-73.9492791,40.7700109,71.4982517268779
"Essex St",5085,-73.883031,40.681085,71.3091859440283
"E 75th St",5083,-73.9640105,40.7737351,71.2951611261241
"E 85th St",5083,-73.9594219,40.780221,71.2951611261241
"78th St",5070,-73.8552261,40.6621024,71.2039324756716
"Vernon Blvd",5051,-73.935227,40.769526,71.0703876449256
"Sterling Pl",5040,-73.930868,40.671474,70.9929573971954
"E 77th St",5031,-73.9582529,40.7729692,70.9295425052213
"FULTON ST",5027,-74.0078096,40.7102369,70.9013399027127
"President St",5012,-73.9506525,40.6680739,70.7954800817114
"Sedgwick Ave",5009,-73.8915109,40.8823005,70.774289116882
"16th Ave",5001,-73.993941,40.622935,70.7177488329486
"E 37th St",4986,-73.9405502,40.6298539,70.6116137756389
"Kingston Ave",4959,-73.9421829,40.6694074,70.420167565833
"79th St",4955,-73.9802682,40.783793,70.3917608815123
"Ocean Ave",4952,-73.440903,40.689736,70.3704483430367
"Creston Ave",4946,-73.9070204,40.8503682,70.327803890069
"W 19th St",4940,-73.9858333,40.5765212,70.2851335632223
"E 83rd St",4938,-73.917952,40.64316,70.2709043630435
"Maiden Ln",4930,-73.710958,42.783195,70.2139587261678
"St Marks Ave",4924,-73.9373917,40.6745355,70.1712191713953
"Merrick Blvd",4916,-73.7307297,40.6739238,70.1141925718324
"Dyckman St",4910,-73.9233136,40.8593649,70.0713921654194
"",4904,-74.0060152,40.7127281,70.0285656000464
"Knickerbocker Ave",4886,-73.9189811,40.6987479,69.8999284692052
"88th Ave",4875,-73.806137,40.705692,69.8212002188447
"Canal St",4835,-74.0067677,40.7228854,69.5341642647699
"St Marks Pl",4817,-73.979975,40.6818357,69.4046107978425
"St Johns Pl",4816,-73.9746382,40.6766587,69.3974062915899
"E 36th St",4796,-73.940266,40.622623,69.2531587727231
"90th St",4795,-74.032195,40.620688,69.2459385090563
"W 74th St",4795,-73.9777589,40.7786981,69.2459385090563
"E 82nd St",4789,-73.9167843,40.6409589,69.2026011071838
"Beaver St",4761,-73.938484,40.70068,69
"70th Rd",4731,-73.8202414,40.7295392,68.7822651560706
"William St",4721,-79.0350352,43.1489153,68.7095335452075
"32nd St",4720,-74.0021376,40.6565971,68.7022561492707
"FLATBUSH AVE",4690,-73.9088164,40.5974264,68.4835746730557
"Lydig Ave",4681,-73.864814,40.854443,68.4178339323893
"73rd St",4675,-73.988358,40.610675,68.3739716558867
"65th St",4666,-74.0020427,40.6262979,68.3081254317523
"Prospect Pl",4625,-73.925161,40.672954,68.0073525436772
"W 207th St",4615,-73.9189539,40.8644712,67.9337912971152
"W 132nd St",4611,-73.9423303,40.8122349,67.9043444854598
"36th Ave",4591,-73.9298155,40.7565586,67.7569184659397
"Laguardia Pl",4516,-73.997401,40.7298918,67.2011904656458
"Audubon Ave",4504,-73.9395951,40.8387939,67.1118469422501
"Decatur Ave",4502,-73.9344291,40.5798308,67.096944788865
"Carroll St",4501,-79.0559111,43.1250706,67.089492470878
"Avenue P",4498,-73.9884142,40.6071243,67.0671305484289
"E 2nd St",4498,-73.9880826,40.7239896,67.0671305484289
"153rd St",4490,-73.8043289,40.7068597,67.0074622710038
"W 231st St",4483,-73.905793,40.879418,66.9552089086428
"E 116th St",4482,-73.9320997,40.7947554,66.9477408132642
"NOSTRAND AVE",4481,-73.949556,40.6803935,66.9402718847182
"E. 135TH ST. (W)@ AL",4479,-73.9359874,40.8120663,66.9253315270085
"77th St",4476,-74.0255506,40.6295562,66.9029147347109
"Elizabeth St",4472,-73.444232,40.734141,66.873013989202
"E 167th St",4447,-73.9174338,40.8343229,66.6858305789168
"Rivington St",4446,-73.9906322,40.7207678,66.6783323126786
"71st Rd",4433,-73.8222926,40.727332,66.5807780068692
"E 89th St",4430,-73.8957114,40.6298424,66.558245169175
"Centre St",4424,-79.0358048,43.1724271,66.5131565932636
"Pitkin Ave",4422,-73.9191926,40.6684412,66.4981202741852
"E 95th St",4417,-73.918147,40.656766,66.460514593253
"Unionport Rd",4402,-73.868235,40.850913,66.3475696615935
"Putnam Ave",4399,-73.9070521,40.6999609,66.3249575951617
"E 74th St",4394,-73.9596512,40.7710532,66.2872536767062
"Baxter Ave",4383,-73.8825602,40.7477069,66.2042294721417
"W 20th St",4376,-73.9868921,40.5764025,66.1513416341649
"E 68th St",4372,-73.9674194,40.7692747,66.1211010192662
"63rd Rd",4329,-73.862184,40.7302862,65.7951365983839
"South End Ave",4326,-74.0167518,40.7093532,65.7723346096214
"BEACH CHANNEL DR.(W/",4306,-73.8748412,40.5697466,65.6201188660917
"E 98th St",4264,-73.9241763,40.6661113,65.299310869258
"51st St",4252,-73.9719085,40.7571079,65.2073615476044
"W 42nd St",4245,-73.9912834,40.7578624,65.1536645170477
"E Kingsbridge Rd",4234,-73.8938481,40.8656357,65.0691939399898
"Avenue J",4212,-73.9608191,40.6251006,64.8999229583518
"Lee Ave",4206,-73.9537818,40.7000367,64.8536814683638
"23rd St",4197,-73.9893664,40.7414825,64.7842573469821
"7 AVE",4192,-73.9856092765957,40.5866014787234,64.7456562249546
"John St",4192,-75.225461,43.103071,64.7456562249546
"Rogers Ave",4155,-73.951306,40.639808,64.4592894779333
"10th St",4151,-73.9939955,40.6720242,64.4282546713785
"103rd St",4149,-73.9614554,40.7961299,64.4127316607517
"E 20th St",4144,-73.9799963,40.7350685,64.3739077577243
"20th Ave",4142,-73.9762613,40.6259884,64.3583716388164
"W 145th St",4110,-73.9438506,40.823648,64.1092816992984
"Sheepshead Bay Rd",4096,-73.9504072,40.5835116,64
"E 64th St",4090,-73.914214,40.618023,63.9531078212779
"Forsyth St",4082,-73.9944664,40.7149038,63.8905313798532
"2ND AVE",4075,-73.9938908,40.6719924,63.8357266740185
"Horace Harding Expy",4059,-73.8362522,40.7431544,63.7102817447859
"99th St",4031,-73.841514,40.683262,63.4901567173999
"Crescent St",4031,-73.9155654,40.7778585,63.4901567173999
"47th Ave",4024,-73.9158599,40.7408224,63.4350061086148
"Forest Ave",4020,-73.903074,40.7043972,63.4034699365894
"Woodside Ave",4018,-73.9009267,40.744063,63.3876959669619
"61st St",4015,-73.904563,40.7226,63.3640276497635
"Quentin Rd",4010,-73.9829191,40.6055607,63.3245607959503
"72nd St",3967,-73.9818557,40.7790162,62.9841249839989
"E 93rd St",3952,-73.896478,40.635106,62.8649345820068
"State St",3944,-73.988722,40.689246,62.8012738724303
"63rd Dr",3941,-73.864886,40.726177,62.777384462878
"Willoughby Ave",3914,-73.926083,40.70091,62.5619692784682
"W 75th St",3909,-73.980303,40.7805992,62.5219961293623
"141st St",3908,-73.8047,40.686934,62.5139984323511
"64th St",3907,-74.0226858,40.6396922,62.5059997120276
"W 120th St",3903,-73.9505698,40.8057503,62.4739945897491
"ATLANTIC AVE",3900,-73.8949322,40.6759984,62.449979983984
"Jackson Ave",3895,-73.9470423,40.7452732,62.4099351065197
"1ST AVE",3885,-73.9401347,40.7895303,62.3297681689897
