"V1","V2"
"23rd Ave",5677
"23rd Rd",342
"23rd St",4197
"23rd Ter",52
"24 AVE",207
"24 RD",29
"24 ST",128
"24 STREET",26
"241 ST",82
"242 ST",119
"242nd St",173
"243 ST",86
"243rd St",846
"244",1
"246 ST",57
"246 STREET",5
"246th St",194
"247 ST",50
"248 STREET",6
"248th St",112
"249",1
"249th St",201
"24TH AVE",50
"24TH ST",25
"24th Ave",1889
"24th Rd",141
"24th St",2270
"25 AVE",501
"25 FT AVENUE D",1
"25 RD",40
"250FT N/E C/O EMERAL",1
"252 ST",32
"252nd St",183
"253rd St",129
"254th St",374
"255 ST",78
"255th St",247
"256 ST",40
"256 STREET",1
"256th St",191
"257  ST",1
"257 ST",32
"258 ST",38
"259th St",103
"25TH AVE",41
"25TH DRIVE",2
"25th Ave",1140
"25th Rd",248
"25th St",128
"26 AVE",182
"26 RD",22
"26 ST",52
"260 ST",27
"260 STREET",5
"263rd St",115
"265 ST",13
"268th St",234
"269th St",192
"26TH AVE",14
"26th Ave",452
"26th St",677
"27 AVE",159
"27 DRIVE",1
"27 ST",147
"27 STREET",37
"270th St",181
"271st St",115
"27TH ST",17
"27th Ave",699
"27th Rd",44
"27th St",3314
"28 AVE",253
"28 AVE  WHITESTONE E",1
"28 RD",45
"28 ST",120
"28 STREET",39
"28 WEST",1
"28TH AVE",45
"28TH ST",25
"28th Ave",3092
"28th Rd",195
"28th St",2237
"29 AVE",87
"29 ST",254
"29 STREET",45
"291 WEACI",1
"29TH AVENUE",6
"29TH ST",81
"29th Ave",650
"29th Rd",68
"29th St",5448
"2AV",1
"2ND",60
"2ND  AVE",5
"2ND AV",83
"2ND AVE",4075
"2ND AVE.",1
"2ND AVE.(S/B)@26TH S",904
"2ND AVENUE",362
"2ND PL",26
"2ND PLACE",10
"2ND ST",69
"2ND ST C/O",1
"2RD AVE",12
"2nd Ave",67751
"2nd Pl",691
"2nd St",1643
"3",14
"3 AV",104
"3 AVE",7406
"3 AVE UNDER MALL",4
"3 AVENUE",430
"3 RD",21
"3 RD AVE",56
"3 ST",143
"30  E/O AMSTERDAM AV",1
"30  FROM C/O WASHING",1
"30  SOUTH BOOTH MEMO",1
"30 AVE",421
"30 AVENUE",20
"30 DR",26
"30 DRIVE",19
"30 RD",22
"30 RUTLAND RD",2
"30 ST",163
"30 STREET",33
"300 WEST",1
"300 WEST MARSH RAPP",1
"300FT EAST OF N/E C/",1
"30FT E/S TRAFFIC AVE",1
"30TH",5
"30TH AVE",46
"30TH ST",52
"30th Ave",15667
"30th Dr",896
"30th Pl",93
"30th Rd",901
"30th St",5175
"31 AVE",1291
"31 AVENUE",26
"31 DR",29
"31 RD",58
"31 ST",367
"31 STREET",134
"3105 55 V",1
"318 COURT ST",1
"31ST AVE",43
"31ST AVENUE",16
"31ST PL",2
"31ST STREET",40
"31TH AVE",9
"31st Ave",7335
"31st Dr",532
"31st Pl",329
"31st Rd",484
"31st St",15928
"32 AVE",595
"32 AVENUE",24
"32 ND ST",3
"32 PL",41
"32 ST",158
"32 STREET",70
"32ND AVE",25
"32ND PLACE",19
"32ND ST",303
"32nd Ave",1998
"32nd Pl",596
"32nd Rd",16
"32nd St",4720
"33 AVE",456
"33 ST",360
"33 STREET",56
"337TH AVE",1
"33RD AVE",10
"33RD STREET",17
"33rd Ave",1275
"33rd Rd",377
"33rd St",8560
"34",9
"34  AVE",1
"34 AVE",652
"34 AVENUE",31
"34 RD",55
"34 ST",323
"34 STREET",42
"342ND ST",1
"34TH",5
"34TH AVE",45
"34TH ST",69
"34th Ave",6729
"34th Rd",314
"34th St",5789
"35",3
"35 AVE",1107
"35 AVENUE",41
"35 ST",232
"35 STREET",61
"35TH",5
"35TH  AVE",1
"35TH AVE",64
"35TH ST",99
"35th Ave",7275
"35th Rd",42
"35th St",6155
"36 AVE",138
"36 AVENUE",14
"36 ST",313
"36 STREET",71
"366 SACKETT ST",1
"368 BROADWAY",1
"36TH",16
"36TH AVE",43
"36TH ST",63
"36th Ave",4591
"36th Rd",887
"36th St",6676
"37",13
"37 AV",21
"37 AVE",1611
"37 AVENUE",81
"37 DR",49
"37 DRIVE",17
"37 RD",67
"37 ST",549
"37ST N 50",1
"37TH",89
"37TH AVE",98
"37TH AVENUE",16
"37TH ST",50
"37TH STREET",10
"37th Ave",36225
"37th Dr",160
"37th Rd",2010
"37th St",8143
"38 AVE",470
"38 ST",416
"38 STREET",104
"38TH",23
"38TH AVE",61
"38TH AVENUE",5
"38TH ST",123
"38th Ave",6360
"38th St",11755
"39 AV",5
"39 AVE",512
"39 PL",30
"39 PLACE",16
"39 ST",284
"39 STREET",67
"39TH PLACE",4
"39TH ST",125
"39TH ST.(N/B)@NORTHE",782
"39TH STREET",21
"39th Ave",12702
"39th Dr",94
"39th Pl",922
"39th Rd",95
"39th St",3834
"3ND AVE",31
"3RD",276
"3RD AV",172
"3RD AVE",11554
"3RD AVE.(N/B)@36TH S",1785
"3RD AVE.(S/B)@E. 135",2787
"3RD AVE0",1
"3RD AVENUE",2141
"3RD AVEUNE",11
"3RD PLACE",16
"3RD ST",112
"3TH AVE",47
"3rd Ave",148186
"3rd Pl",435
"3rd St",1499
"4 AV",18
"4 AVE",777
"4 AVENUE",159
"4 AVNEUE",1
"4 ST",96
"4 STREET",15
"4 WALK",1
"40  N/O E 17 ST",2
"40 AVE",92
"40 FULTON ON",1
"40 FULTON ST ON",1
"40 RD",194
"40 ROAD",18
"40 ST",280
"40 STREET",70
"40TH",14
"40TH RD",34
"40TH ST",62
"40TH STREET",29
"40th Ave",2088
"40th Dr",41
"40th Rd",6222
"40th St",3529
"41 A",1
"41 AV",11
"41 AVE",1127
"41 AVENUE",82
"41 RD",135
"41 ROAD",31
"41 ST",712
"41 STREET",139
"41ST AVE",33
"41ST ST",47
"41ST STREET",15
"41st Ave",12391
"41st Rd",2212
"41st St",9292
"42 AVE",187
"42 ST",406
"42 STREET",99
"42ND",19
"42ND AVE",13
"42ND ST",150
"42ND STREET",23
"42nd Ave",2385
"42nd Pl",32
"42nd Rd",701
"42nd St",6103
"43 AE",3
"43 AVE",596
"43 AVENUE",121
"43 ST",359
"43 STREET",74
"43RD AVENUE",4
"43RD ST",134
"43RD STREET",33
"43rd Ave",6879
"43rd Rd",413
"43rd St",7039
"44 AVE",109
"44 AVENUE",7
"44 DR",61
"44 DRIVE",17
"44 RD",18
"44 ROAD",3
"44 ST",547
"44 STREET",101
"442 B",1
"44TH",39
"44TH ST",214
"44TH STREET",43
"44th Ave",1424
"44th Dr",2596
"44th Rd",1966
"44th St",6529
"45 AV",8
"45 AVE",240
"45 DR",21
"45 DRIVE",8
"45 ST",430
"45 STREET",84
"457 FDR  DR",1
"45TH",107
"45TH AV",2
"45TH AVE",24
"45TH ST",100
"45TH STREET",22
"45th Ave",3410
"45th Dr",269
"45th Rd",426
"45th St",7053
"46 AVE",186
"46 AVENUE",9
"46 RD",32
"46 ST",386
"46 STREET",97
"46TH",5
"46TH ROAD",1
"46TH ST",61
"46th Ave",1846
"46th Rd",687
"46th St",7191
"47 AVE",422
"47 ST",404
"47 STREET",139
"478 COURT ST",1
"47TH AVE",67
"47TH AVENU",1
"47TH AVENUE",43
"47TH ST",70
"47th Ave",4024
"47th Rd",1822
"47th St",7500
"48",6
"48 AV",13
"48 AVE",315
"48 ST",437
"48TH AVE",51
"48TH ST",82
"48th Ave",3043
"48th St",5407
"49 AVE",151
"49 ST",422
"49 STREET",95
"49TH ST",99
"49TH STREET",62
"49th Ave",949
"49th St",5329
"4RD AVE",1
"4TH AV",39
"4TH AVE",1556
"4TH AVE. (S)@ 41ST S",464
"4TH AVE.(N/B)@18TH S",1343
"4TH AVE.(S/B)@60TH S",1687
"4TH AVENUE",515
"4TH END AVE",1
"4TH S",1
"4TH ST",91
"4TH STREET",35
"4th Ave",12615
"4th Pl",360
"4th St",1313
"5  N/O W 42ND ST",1
"5 AV",125
"5 AVE",5969
"5 AVENUE",249
"5 FT S/O E 78 ST",1
"5 ST",122
"5 TH AVE",31
"50  C/O E 199 ST",1
"50  N/O E 41 ST",1
"50  N/OF 58 ST",2
"50  S/O E 153",1
"50  SEAVIEW",1
"50  WEST 58 ST",1
"50 AVE",227
"50 AVENUE",18
"50 FROM C/O W 7 ST",1
"50 FT  ADAMS",1
"50 FT E/O 11TH AVE",1
"50 FT FROM S/E CORNE",1
"50 FT N/O N/W C/O",1
"50 FT S/O E 51ST ST",1
"50 FT SOUTH OF PEARL",1
"50 FT W/O S/W C/O",1
"50 S/O E 58TH ST ON",1
"50 S/O E 61 ST ST ON",1
"50 ST",654
"50 STREET",110
"50 TH",1
"500 FT S/W CORNER ED",1
"50FT FROM C/O GRAND",1
"50FT W/B ON CROPSEY",1
"50FT W/O OF S/W C/O",1
"50TH",10
"50TH AVE",102
"50TH ST",134
"50TH STREET",50
"50th Ave",2573
"50th St",5405
"51 AVE",291
"51 ST",419
"51 STREET",117
"51ST AVE",21
"51ST AVENUE",4
"51ST STREET",28
"51st Ave",3454
"51st Rd",80
"51st St",4252
"52 AVE",108
"52 LORRAINE ST",1
"52 RD",14
"52 ST",339
"52 STREET",77
"52ND AVE",4
"52ND ST",115
"52ND STREET",26
"52nd Ave",697
"52nd Ct",17
"52nd Dr",61
"52nd St",3340
"53 AVE",230
"53 RD",14
"53 ST",355
"53 STREET",87
"53RD",8
"53RD DR",2
"53RD DRIVE",3
"53RD ST",110
"53RD STREET",18
"53rd Ave",787
"53rd Dr",171
"53rd Pl",131
"53rd Rd",234
"53rd St",3523
"54 AVE",100
"54 ST",306
"54 STREET",69
"549 ST",1
"54th Ave",1101
"54th Pl",93
"54th Rd",112
"54th St",3335
"55 AVE",143
"55 DR",12
"55 RD",25
"55 ST",311
"55 STREET",98
"55TH AVE",28
"55TH ST",101
"55TH ST W/SIDE",1
"55th Ave",3742
"55th Dr",325
"55th Rd",99
"55th St",2932
"56 AVE",284
"56 AVENUE",10
"56 DRIVE",8
"56 ROAD",6
"56 ST",381
"56 STREET",74
"560 LENOX AVENUE",1
"56TH AVE",12
"56TH RD",5
"56TH ST",142
"56TH STREET",24
"56th Ave",2473
"56th Dr",372
"56th Rd",741
"56th St",3758
"57 AV",17
"57 AVE",526
"57 AVENUE",350
"57 DR",32
"57 DRIVE",10
"57 RD",80
"57 ST",428
"57 STREET",97
"57TH AVE",88
"57TH ST",88
"57TH STREET",29
"57th Ave",2884
"57th Rd",646
"57th St",3469
"58 AVE",146
"58 LANE",13
"58 LN",8
"58 PL",10
"58 RD",106
"58 ST",400
"58 STREET",106
"58TH ST",114
"58th Ave",975
"58th Dr",42
"58th Ln",108
"58th Rd",562
"58th St",2535
"59 AVE",252
"59 AVENUE",66
"59 DR",8
"59 RD",8
"59 ST",456
"59 STREET",82
"59TH AVE",31
"59TH ST",84
"59th Ave",850
"59th Dr",147
"59th Pl",208
"59th St",2750
"5FT E/O 3RD AVE",1
"5FT FROM 7TH AVE",1
"5FT FROM THE C/O VAR",1
"5FT N/O E.44 TH ST",1
"5FT NORTH OF N/W",1
"5FT WEST OF  5 AVE",1
"5FT WEST OF 5 AVE",2
"5TH",102
"5TH AE",10
"5TH AV",86
"5TH AVE",5610
"5TH AVE ON",1
"5TH AVE.(S/B)@40TH S",2011
"5TH AVENUE",699
"5TH ST",73
"5th Ave",97622
"5th St",2540
